title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,tagline,genres,production_companies,production_countries,spoken_languages,keywords,id
Rise of the Planet of the Apes,7.289,10799,Released,2011-08-03,482860185,105,False,93000000,en,Rise of the Planet of the Apes,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",Evolution Becomes Revolution.,"Thriller, Action, Drama, Science Fiction","Dune Entertainment III, Dune Entertainment, Chernin Entertainment, Ingenious Media, Big Screen Productions, 20th Century Fox",United States of America,English,"intelligence, dystopia, zoo, alzheimer's disease, cage, golden gate bridge, ape, monkey, medical research",610
Robin Hood,6.4,4264,Released,2010-05-12,321669741,140,False,200000000,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","Rise and rise again, until lambs become lions","Action, Adventure, Drama","Scott Free Productions, Imagine Entertainment, Relativity Media","United Kingdom, United States of America","English, French, Ukrainian","robin hood, archer, sherwood forest, knight, historical fiction, bow and arrow, middle ages (476-1453), medieval, king of england, 12th century",611
RoboCop,7.297,4559,Released,1987-07-17,53424681,102,False,13000000,en,RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",Part man. Part machine. All cop. The future of law enforcement.,"Action, Thriller, Science Fiction",Orion Pictures,United States of America,English,"experiment, cyborg, crime fighter, dystopia, giant robot, evil corporation, cyberpunk, detroit, michigan, law enforcement, gentrification, corrupt system, megacorporation",612
RoboCop,5.847,5133,Released,2014-01-30,242688965,118,False,120000000,en,RoboCop,"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.",We've got the future under control.,"Science Fiction, Action, Crime, Thriller","Columbia Pictures, Strike Entertainment, Metro-Goldwyn-Mayer, Dynamic Effects Canada","Canada, United States of America",English,"future, police, cyborg, dystopia, remake, detroit, michigan",613
Rocketman,7.328,4285,Released,2019-05-17,167323950,121,False,40000000,en,Rocketman,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",Based on a true fantasy,"Music, Drama, History","Paramount, New Republic Pictures, Marv Films, Rocket Pictures, Lawrence Bender Productions","United Kingdom, United States of America",English,"london, england, drug abuse, pop star, 1970s, musical, biography, based on true story, alcoholism, singer, rock music, los angeles, california, pianist, lgbt, rise to fame, 1960s, gay theme",614
Rocky,7.8,7135,Released,1976-11-21,225250402,119,False,1000000,en,Rocky,An uneducated collector for a Philadelphia loan shark is given a once-in-a-lifetime opportunity to fight against the world heavyweight boxing champion.,His whole life was a million-to-one shot.,"Drama, Romance",Winkler Films,United States of America,English,"underdog, philadelphia, pennsylvania, transporter, love of one's life, italian american, sports, fight, independence, publicity, boxer, training, lovers, world champion, victory, surprise, boxing",615
Rogue One: A Star Wars Story,7.488,14354,Released,2016-12-14,1056057273,133,False,200000000,en,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,A Rebellion Built on Hope,"Action, Adventure, Science Fiction",Lucasfilm Ltd.,United States of America,English,"rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man",616
Romeo + Juliet,6.795,4681,Released,1996-11-01,147298761,120,False,14500000,en,Romeo + Juliet,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",My only love sprung from my only hate.,"Drama, Romance","20th Century Fox, Bazmark Films","Australia, Mexico, United States of America",English,"suicide, gang war, forbidden love, based on play or musical, murder, gun violence, star crossed lovers, shakespeare in modern dress, teenage romance, masquerade",617
Room,8.033,8684,Released,2015-10-16,35401758,118,False,13000000,en,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Love knows no boundaries,"Drama, Thriller","Elevation Pictures, Téléfilm Canada, Element Pictures, FilmNation Entertainment, No Trace Camping, Film4 Productions, Fís Éireann/Screen Ireland","Canada, Ireland, United Kingdom, United States of America",English,"based on novel or book, escape, isolation, carpet, kidnapping, imprisonment, grandparents, hospital, dog, captive, children's perspectives, skylight, mother son relationship",618
Rush,7.708,6598,Released,2013-09-02,90247624,123,False,38000000,en,Rush,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",Everyone's driven by something.,"Drama, Action","Revolution Films, Working Title Films, Imagine Entertainment","United Kingdom, United States of America","English, German, Italian, French","car race, sports, world champion, based on true story, adventurer, formula one (f1)",619
